"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"PF3D7_1115900" 68.0424971375774 -3.28878552553239 0.544968843427649 -4.19984656579043 2.67095916271079e-05 0.000144892211408868
"PF3D7_1457400" 353.60122095559 -3.2771530995207 0.328948732732349 -6.92251671136098 4.43689434518988e-12 6.6140115430625e-11
"PF3D7_0805200" 25.9710046235366 -3.27511872670073 0.571932950317113 -3.97794658524094 6.95129818381674e-05 0.000350853556754609
"PF3D7_0822500" 19.1501937160757 -3.21038753556041 0.546745733395574 -4.04280710492747 5.28150691266798e-05 0.000273162348971735
"PF3D7_1401100" 3787.86990113734 -3.20534360254978 0.421456517315765 -5.23267172754975 1.67077307792753e-07 1.19966975757458e-06
"PF3D7_1004100" 27.9047494428226 -3.20322420306997 0.437328424701968 -5.03791676603558 4.70626003623003e-07 3.21289345760698e-06
"PF3D7_0517200" 156.288630808547 -3.19946709655654 0.417497031307222 -5.26822212284913 1.37751364507399e-07 1.00201226508658e-06
"PF3D7_1302050" 75.5328436040728 -3.19807413237161 0.417369556157735 -5.26649368633129 1.39054026868036e-07 1.01013746353669e-06
"PF3D7_0726050" 30.285482127706 -3.16390547929028 0.488093205009051 -4.43338579001557 9.27646576090478e-06 5.35809450160116e-05
"PF3D7_0112100" 6.33078853458644 -3.13872897714836 0.615951766117651 -3.4722345073037 0.000516145253703388 0.00218208727692318
"PF3D7_1301200" 533.424115058924 -3.12215747292304 0.718571662477461 -2.953299696799 0.00314396568918113 0.0114500115895813
"PF3D7_0935800" 7.17442016241533 -3.10417499583114 0.624647947497689 -3.36857745912777 0.000755571630593892 0.0030771446422615
"PF3D7_0310100" 10.1492226908072 -3.10337719174448 0.618301850323686 -3.40186138961632 0.000669285739301832 0.00275877553601611
"PF3D7_0902500" 586.219946671159 -3.08504061699196 0.570276025155182 -3.65619546503745 0.000255986193339677 0.00115682797172856
"PF3D7_1200600" 14.1587065522612 -3.06783833833539 0.780495115746077 -2.64939305399591 0.00806364889710433 0.0267852952680981
"PF3D7_0708900" 67.4382355354708 -3.02803191064649 0.330982004235536 -6.12731775351534 8.93728759486502e-10 9.2978550293806e-09
"PF3D7_1337800" 49.7725436165712 -3.02193399238979 0.450705606492914 -4.48615229822214 7.25209120436934e-06 4.25659420096802e-05
"PF3D7_0825600" 3.65486859489947 -2.98314042792992 0.754844715689809 -2.62721641512406 0.00860865639935163 0.0283705024039202
