"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"MSTRG.729" 31.785623150843 2.24139939755685 0.377620196574618 3.28742850307677 0.00101106859078798 0.0071270423213388
"MSTRG.731" 24.1359268602523 2.27400523066069 0.306772303736273 4.15293432667876 3.28238962694237e-05 0.000383746039312449
"MSTRG.1449" 16.7611838962393 2.32222655559521 0.360002276225931 3.67282832057818 0.000239880650804245 0.0020655591368653
"MSTRG.826" 68.2375903443196 2.39064691604124 0.388420647117757 3.58026002572319 0.000343252457631634 0.00280452860269483
"MSTRG.5720" 57.3635071182928 2.42942003728622 0.352805861933231 4.05157677781652 5.08736263203696e-05 0.0005584448446465
"MSTRG.562" 138.095976007152 2.49470059283866 0.49119195917296 3.04300704627851 0.00234226848553302 0.014455717090972
"MSTRG.1330" 11.864444800564 2.50045796911321 0.437038691281396 3.43323828998727 0.000596417674880817 0.00446691987749279
"MSTRG.2747" 8.04582029259282 2.5228510174658 0.525020109845675 2.90055750038494 0.00372499488524222 0.0213408073505112
"MSTRG.3582" 17.9984403767903 2.5573534596387 0.411242585333798 3.78694599046599 0.000152510233590062 0.00144282707830598
"MSTRG.3784" 52.1794159168037 2.5779917810168 0.491333285801298 3.21165251086807 0.00131973899942456 0.00895181453383262
"MSTRG.3802" 8.45493650496464 2.58686841256992 0.509319527366991 3.11566379709314 0.00183531388537831 0.0117296949652178
"MSTRG.514" 11.3946523136196 2.61356318144329 0.529906760067743 3.04499452174759 0.00232684548208772 0.0144224301863886
"MSTRG.2926" 7.21198029445341 2.6157644267915 0.560255302321145 2.88397882197163 0.00392685160756106 0.0223194174374419
"MSTRG.1627" 6.793691134545 2.62944148526615 0.497466184637772 3.27548190326266 0.00105481872107409 0.00739916741904655
"MSTRG.4690" 35.687221864295 2.63532621049965 0.557094399350229 2.93545620348548 0.0033305762403577 0.0195484434025893
"MSTRG.4222" 21.6541656616241 2.64731803553246 0.45648533314505 3.60869871586655 0.000307736747275451 0.00252871681475485
"MSTRG.4046" 4.24254006544964 2.65853776039366 0.534622888649355 3.10225730249543 0.00192050952309883 0.0122198791779474
"MSTRG.2945" 12.8156704925658 2.65915987269028 0.555917314332723 2.98454433764452 0.00284001038962128 0.0172317929969426
"MSTRG.2017" 5.70996229490628 2.67433132187438 0.581209836362071 2.8807690736179 0.00396706177220903 0.0224591922379393
"MSTRG.3127" 10.1286925335655 2.67482471888653 0.598816362471119 2.79689204211968 0.00515967706761894 0.0282114662480458
"MSTRG.1810" 6.42430600148048 2.69786876374409 0.574987550846671 2.95287917319943 0.00314825163261532 0.0187850035174308
"MSTRG.4643" 42.3570069549275 2.70851832472447 0.331378211805473 5.15579559505682 2.5255628277247e-07 5.57024971734933e-06
"MSTRG.2397" 14.2755178001889 2.72180735993546 0.41424248844224 4.15652041491524 3.23131309961908e-05 0.000383746039312449
"MSTRG.3194" 46.1662027740458 2.72775951169115 0.463663544691822 3.72632166464482 0.000194294426120003 0.00172466286889237
