"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"PF3D7_1030000" 506.361714512903 -7.89868792836555 0.857917552097334 -8.04120152513545 8.89618109120804e-16 1.14166054012383e-13
"PF3D7_1321900" 538.426445080071 -7.86164902247599 0.874539076058581 -7.84601764554699 4.29456543489714e-15 3.30832224993568e-13
"PF3D7_0303300" 570.199599343679 -7.84125587347088 0.842620191340503 -8.11902674986615 4.69936940705629e-16 8.85350709470188e-14
"PF3D7_0702300" 1837.1710795866 -7.83347505568467 1.01078144979181 -6.76058613569944 1.37434592615836e-11 1.55936769037761e-10
"PF3D7_0402400" 2835.53584391172 -7.81983236786548 0.888126006405393 -7.67890177596321 1.60458203727514e-14 8.38776157818469e-13
"PF3D7_1120400" 420.866726484617 -7.81254785366359 0.860799659629267 -7.91420834970782 2.48831295046028e-15 2.27887752264286e-13
"PF3D7_0606500" 949.72727654132 -7.80313341858397 0.851034947428553 -7.993953055794 1.30679536598451e-15 1.51708235979747e-13
"PF3D7_0702000" 1764.79120632986 -7.79908967706699 1.12759968515269 -6.02970164553239 1.64262645350287e-09 8.21500314046821e-09
"PF3D7_0909900" 837.21435886864 -7.78890747094907 0.871140015947921 -7.79313009007145 6.53692575249347e-15 4.48494390299982e-13
"PF3D7_1210600" 1765.25182362964 -7.77609627286846 0.908025310909242 -7.46245307422465 8.49262657939465e-14 3.10759360917683e-12
"PF3D7_1252500" 65.9141939382037 -7.77152180156384 1.19613382242588 -5.66117408822242 1.50340812940198e-08 5.71555419584771e-08
"PF3D7_0112800" 182.953596495788 -7.7585642997042 1.23126558229681 -5.48911981044475 4.03941570022418e-08 1.3966200267468e-07
"PF3D7_1303400" 2179.11607612411 -7.75609380606737 0.854957513765028 -7.90225677567901 2.73898440466049e-15 2.45446541242127e-13
"PF3D7_1401600" 866.206885408814 -7.7356985409681 0.821538734154594 -8.19888127113018 2.42634417906636e-16 7.06588371021412e-14
"PF3D7_1252900" 423.41980252851 -7.71585142886111 1.22117333087433 -5.49950712078909 3.80854327705414e-08 1.32830131291062e-07
"PF3D7_1218500" 2638.68638238965 -7.71105960406638 0.89838618403825 -7.4701277950426 8.01169751063692e-14 2.98130201433955e-12
"PF3D7_0424400" 873.331805916793 -7.70591349914957 1.10758017883143 -6.05456257462528 1.40799736019419e-09 7.16953662172241e-09
"PF3D7_0309800" 295.71937659925 -7.70583469603071 0.865465492417793 -7.74824040331991 9.31746176754088e-15 5.84471066018172e-13
"PF3D7_1149600" 1614.53426102928 -7.68965462818077 0.885678610947802 -7.55314009561763 4.24887526290892e-14 1.76007653579557e-12
"PF3D7_1302050" 97.3330320181935 -7.68476150944604 0.988950625982334 -6.75944919171875 1.38517323582271e-11 1.5635721538554e-10
"PF3D7_1210400" 536.64287046748 -7.68249866139833 0.884699111994056 -7.55341400347561 4.23994505642612e-14 1.76007653579557e-12
"PF3D7_1224700" 760.051688047709 -7.67624521107373 1.06526204232479 -6.26723279889305 3.67520507515742e-10 2.26973635513589e-09
"PF3D7_1411900" 886.178428936021 -7.67542419849634 0.836864327708499 -7.97671017568042 1.50285154905134e-15 1.60951735411816e-13
"PF3D7_1468700" 9542.01558662055 -7.65618264964057 0.805556954710819 -8.26283307557071 1.42255105924461e-16 6.24642170114308e-14
"PF3D7_0302000" 1012.83819318441 -7.62943513196064 0.864923222221563 -7.6647671858467 1.79155880408365e-14 9.14736594038526e-13
"PF3D7_1467600" 483.307773801698 -7.62465106945515 0.81879588456993 -8.09072345659715 5.9311379632489e-16 9.76356590414531e-14
"PF3D7_1223400" 7678.17110690612 -7.61372990921226 0.825254489899516 -8.01417016224602 1.10883104922537e-15 1.35246587143017e-13
"PF3D7_1461600" 1414.67454663188 -7.61259113832213 0.828281240980222 -7.98350947861202 1.42230385737883e-15 1.56133405943762e-13
"PF3D7_1353200" 2280.15240848016 -7.60685295758081 0.809098258125116 -8.16569914869245 3.19578838691624e-16 7.06588371021412e-14
"PF3D7_1034900" 1095.17122125798 -7.60265303057886 0.88973170393813 -7.4209483615726 1.16284651351518e-13 4.02051892979934e-12
"PF3D7_1113100" 1371.58024049853 -7.60153124849528 0.809114483846735 -8.15895819477848 3.37926572340006e-16 7.06588371021412e-14
"PF3D7_0626800" 8110.59530523971 -7.60059871108666 0.828533135931309 -7.96660800254813 1.6308895675382e-15 1.66540374210703e-13
"PF3D7_0520600" 738.139477879541 -7.59511132526535 0.80583059958899 -8.1842403709032 2.74026635300284e-16 7.06588371021412e-14
"PF3D7_0214000" 1761.31985993194 -7.58734910472166 0.851126494091281 -7.73956532953982 9.9757270200418e-15 6.08380796458383e-13
"PF3D7_1218300" 683.036197644238 -7.57334717595418 0.891171142926591 -7.37607723065114 1.63021471143859e-13 5.04031279811953e-12
"PF3D7_0501300" 11693.7160795016 -7.56142380313229 0.831213734051247 -7.89378656095179 2.93153351522967e-15 2.57447273307469e-13
"PF3D7_1461200" 405.350759464446 -7.55545192340044 0.895227161819967 -7.32266870687147 2.43087412359856e-13 6.79870590873968e-12
"PF3D7_1241100" 399.972468344184 -7.54199700496931 0.831570739631908 -7.8670360718381 3.63141961634023e-15 2.95288213617591e-13
"PF3D7_0609700" 2246.33500473653 -7.54076894436448 0.829642656385467 -7.88383877567346 3.1747385357028e-15 2.68082248274442e-13
"PF3D7_1002400.1" 2776.55594034427 -7.5280005990189 0.845692212012955 -7.71912110137642 1.17134574015422e-14 6.95051235813131e-13
"PF3D7_0606000" 2867.05437118263 -7.52297203398302 0.857248478585866 -7.60919639629275 2.75805378306708e-14 1.28836320866463e-12
"PF3D7_1211400" 997.338293983947 -7.51477041214976 0.822363344639026 -7.922009723098 2.33702031717509e-15 2.23083830711214e-13
"PF3D7_1301200" 1482.67097912911 -7.51165797063079 0.927464894254476 -7.02092123483018 2.20410089906656e-12 3.55816435580929e-11
"PF3D7_0808300" 458.782845158418 -7.50894942793629 0.880852838268537 -7.38937214612456 1.47523741582751e-13 4.69403441514391e-12
"PF3D7_1352200" 978.401178009357 -7.50503141021059 0.839180143236656 -7.75165077800955 9.07055581633231e-15 5.77229138978481e-13
"PF3D7_0209100" 431.073555151202 -7.48930943115204 0.805315206055575 -8.05809872004852 7.74902287694648e-16 1.10239601891134e-13
